Name,Business,Location,Type,Loc in Market,Full Address (probably),Latitude,Longitude
Sacred Heart Church,District Business,In Detroit,Unspecified,1000 Eliot,"1000 Eliot, Detroit, MI 48207",42.3508,-83.046199
McDonald's,District Business,In Detroit,Dine,1000 Mack,"1000 Mack, Detroit, MI 48207",42.351351,-83.046492
The Whiskey Factory,District Business,In Detroit,Unspecified,1000 Maple,"1000 Maple, Detroit, MI 48207",42.340673,-83.039581
Crain Communications,District Business,In Detroit,Other,1155 Gratiot,"1155 Gratiot, Detroit, MI 48207",42.342888,-83.042249
Kap's Wholesale Food Services. Inc,District Business,In Detroit,Unspecified,1300 Maple,"1300 Maple, Detroit, MI 48207",42.341208,-83.038487
Detroit Flyhouse Circus School,District Business,In Detroit,Other,1321 Watson,"1321 Watson, Detroit, MI 48207",42.349738,-83.043926
La Ventana Cafe,District Business,In Detroit,Dine,1337 Division Suite 204,"1337 Division Suite 204, Detroit, MI 48207",42.346904,-83.041682
Historic Trinity Lutheran Church,District Business,In Detroit,Unspecified,1345 Gratiot,"1345 Gratiot, Detroit, MI 48207",42.342909,-83.039671
Century Partners,District Business,In Detroit,Unspecified,1347 Fisher Fwy,"1347 Fisher Fwy, Detroit, MI 48207",42.345268,-83.040535
United Fish Distributors,District Business,In Detroit,Unspecified,1349 Adelaide,"1349 Adelaide, Detroit, MI 48207",42.346328,-83.041064
Electric Park Tattoo,District Business,In Detroit,Unspecified,1350 Adelaide,"1350 Adelaide, Detroit, MI 48207",42.34596,-83.040832
826 Michigan & The Detroit Robot Factory,District Business,In Detroit,Unspecified,1351 Winder,"1351 Winder, Detroit, MI 48207",42.345937,-83.040808
Detroit Hustles Harder,District Business,In Detroit,Unspecified,1353 Division,"1353 Division, Detroit, MI 48207",42.346975,-83.04148
Complete Image Manufacturing,District Business,In Detroit,Unspecified,1353 E Fisher Fwy,"1353 E Fisher Fwy, Detroit, MI 48207",42.345386,-83.040262
Two/18,District Business,In Detroit,Unspecified,1400 Fisher Fwy,"1400 Fisher Fwy, Detroit, MI 48207",42.344722,-83.039038
Miami Night Hookah Lounge,District Business,In Detroit,Dine,1400 Gratiot,"1400 Gratiot, Detroit, MI 48207",42.343529,-83.038385
Thomas Magees Sporting House and Whiskey Bar,District Business,In Detroit,Dine,1408 Fisher Fwy,"1408 Fisher Fwy, Detroit, MI 48207",42.34477,-83.039053
Tailored Detroit,District Business,In Detroit,Unspecified,1410 Gratiot,"1410 Gratiot, Detroit, MI 48207",42.343678,-83.038264
The Vella Group,District Business,In Detroit,Unspecified,1410 Gratiot,"1410 Gratiot, Detroit, MI 48207",42.343678,-83.038264
Tocororo,District Business,In Detroit,Dine,1416 E Fisher Service Dr.,"1416 E Fisher Service Dr., Detroit, MI 48207",42.344782,-83.039028
Pure Shea Store,District Business,In Detroit,Unspecified,1424 E. Fisher Fwy,"1424 E. Fisher Fwy, Detroit, MI 48207",42.344794,-83.039003
Cheech's Chicken,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Detroit Cheese Company,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Gratiot Central Market,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Louanna's Bake Shop,District Business,In Detroit,Baked Goods,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Pietrzyk Pierogi,District Business,In Detroit,Dine,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
R.J. Meats,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Randy's Sausage,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Ronnie's Meats,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Star Fish Seafood,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Stop By,District Business,In Detroit,Unspecified,1429 Gratiot,"1429 Gratiot, Detroit, MI 48207",42.344738,-83.038413
Eastern Market Welcome Center,District Business,In Detroit,Unspecified,1445 Adelaide,"1445 Adelaide, Detroit, MI 48207",42.346977,-83.039888
Kimochi Detroit,District Business,In Detroit,Unspecified,1445 Adelaide,"1445 Adelaide, Detroit, MI 48207",42.346977,-83.039888
Cheap Charlie's,District Business,In Detroit,Unspecified,1461 Gratiot,"1461 Gratiot, Detroit, MI 48207",42.345063,-83.037979
Peoples Records,District Business,In Detroit,Unspecified,1464 Gratiot,"1464 Gratiot, Detroit, MI 48207",42.344336,-83.037644
